timestamp,date,time,vehicle_type,direction,vehicle_id,total_in,total_out
2026-01-21T01:34:09.939835,2026-01-21,01:34:09,motorcycle,ENTRY,1563,146,139
2026-01-21T01:34:11.137196,2026-01-21,01:34:11,car,EXIT,1564,146,140
2026-01-21T01:34:12.412847,2026-01-21,01:34:12,motorcycle,ENTRY,1564,147,140
2026-01-21T01:34:12.613906,2026-01-21,01:34:12,motorcycle,ENTRY,1565,148,140
2026-01-21T01:34:12.814921,2026-01-21,01:34:12,motorcycle,EXIT,1565,148,141
2026-01-21T01:34:13.016456,2026-01-21,01:34:13,motorcycle,EXIT,1566,148,142
2026-01-21T01:34:14.361919,2026-01-21,01:34:14,motorcycle,ENTRY,1578,149,142
2026-01-21T01:34:16.035748,2026-01-21,01:34:16,motorcycle,ENTRY,1581,151,142
2026-01-21T01:34:16.037103,2026-01-21,01:34:16,motorcycle,ENTRY,1581,151,142
2026-01-21T01:34:16.572098,2026-01-21,01:34:16,motorcycle,ENTRY,1583,152,142
2026-01-21T01:34:17.308138,2026-01-21,01:34:17,car,EXIT,1594,152,143
2026-01-21T01:34:18.116428,2026-01-21,01:34:18,car,ENTRY,1600,153,144
2026-01-21T01:34:18.117636,2026-01-21,01:34:18,truck,EXIT,1600,153,144
2026-01-21T01:34:18.856806,2026-01-21,01:34:18,motorcycle,EXIT,1610,153,145
2026-01-21T01:34:19.121822,2026-01-21,01:34:19,motorcycle,ENTRY,1611,154,145
2026-01-21T01:34:20.596755,2026-01-21,01:34:20,motorcycle,ENTRY,1613,155,145
2026-01-21T01:34:20.930161,2026-01-21,01:34:20,car,EXIT,1614,155,146
2026-01-21T01:34:21.196139,2026-01-21,01:34:21,motorcycle,EXIT,1615,155,147
2026-01-21T01:34:22.068601,2026-01-21,01:34:22,car,EXIT,1616,155,148
2026-01-21T01:34:22.805506,2026-01-21,01:34:22,car,ENTRY,1619,156,148
2026-01-21T01:34:23.816098,2026-01-21,01:34:23,truck,ENTRY,1626,157,148
2026-01-21T01:34:24.283351,2026-01-21,01:34:24,truck,ENTRY,1626,158,148
2026-01-21T01:34:26.299815,2026-01-21,01:34:26,motorcycle,EXIT,1663,158,149
2026-01-21T01:34:26.365245,2026-01-21,01:34:26,motorcycle,ENTRY,1663,159,149
2026-01-21T01:34:27.842577,2026-01-21,01:34:27,truck,ENTRY,1671,160,149
2026-01-21T01:34:28.774230,2026-01-21,01:34:28,car,EXIT,1671,160,150
